City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Plerin,FR,48.5425,-2.7798,55.44,92,100,1.01,light rain
328,Naze,JP,28.3667,129.4833,77.92,58,7,22.28,clear sky
329,Kikwit,CD,-5.041,18.8162,69.51,97,90,1.54,light rain
330,Ermelo,ZA,-26.5333,29.9833,57.63,78,96,2.42,overcast clouds
331,Huarmey,PE,-10.0681,-78.1522,61.36,86,64,8.81,broken clouds
332,Sheridan,US,44.8333,-106.9173,37.78,65,0,0.0,clear sky
333,Severo-Kurilsk,RU,50.6789,156.125,43.14,74,59,28.05,light rain
334,Bressanone,IT,46.715,11.656,52.83,87,87,1.57,overcast clouds
335,Honningsvag,NO,70.9821,25.9704,37.15,70,75,32.21,light snow
336,Baikunthpur,IN,23.25,82.55,74.52,53,0,4.59,clear sky
337,Morristown,US,36.214,-83.2949,42.1,78,0,0.0,clear sky
338,Sena Madureira,BR,-9.0656,-68.6569,76.66,73,34,2.37,scattered clouds
339,Pec,XK,42.6591,20.2883,48.33,87,2,5.73,clear sky
340,Iqaluit,CA,63.7506,-68.5145,26.33,68,100,24.16,overcast clouds
341,Maine-Soroa,NE,13.2114,12.0241,78.84,25,5,8.39,clear sky
342,Praia,CV,14.9215,-23.5087,73.94,83,20,3.44,few clouds
343,Cayenne,GF,4.9333,-52.3333,75.24,94,97,2.3,overcast clouds
344,Torres,BR,-29.3353,-49.7269,68.83,96,89,2.35,overcast clouds
